trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
29__0__725__TZM__116__116,20:20:00,20:20:00,5500,0,,0,1,,1
29__0__725__TZM__116__116,20:21:13,20:21:13,5502,1,,0,0,,0
29__0__725__TZM__116__116,20:22:58,20:22:58,5506,2,,0,0,,0
29__0__725__TZM__116__116,20:24:05,20:24:05,5508,3,,0,0,,0
29__0__725__TZM__116__116,20:26:04,20:26:04,5510,4,,0,0,,0
29__0__725__TZM__116__116,20:28:01,20:28:01,5513,5,,0,0,,0
29__0__725__TZM__116__116,20:29:42,20:29:42,5514,6,,0,0,,0
29__0__725__TZM__116__116,20:31:00,20:31:00,5516,7,,0,0,,1
29__0__725__TZM__116__116,20:32:31,20:32:31,6012,8,,0,0,,0
29__0__725__TZM__116__116,20:33:21,20:33:21,6013,9,,0,0,,0
29__0__725__TZM__116__116,20:35:02,20:35:02,6014,10,,0,0,,0
29__0__725__TZM__116__116,20:36:10,20:36:10,6015,11,,0,0,,0
29__0__725__TZM__116__116,20:37:06,20:37:06,6016,12,,0,0,,0
29__0__725__TZM__116__116,20:38:00,20:38:00,6017,13,,0,0,,1
29__0__725__TZM__116__116,20:39:07,20:39:07,6019,14,,0,0,,0
29__0__725__TZM__116__116,20:39:57,20:39:57,6920,15,,0,0,,0
29__0__725__TZM__116__116,20:40:57,20:40:57,6941,16,,0,0,,0
29__0__725__TZM__116__116,20:42:11,20:42:11,6942,17,,0,0,,0
29__0__725__TZM__116__116,20:43:07,20:43:07,6946,18,,0,0,,0
29__0__725__TZM__116__116,20:43:57,20:43:57,6947,19,,0,0,,0
29__0__725__TZM__116__116,20:44:53,20:44:53,6948,20,,0,0,,0
29__0__725__TZM__116__116,20:45:35,20:45:35,6949,21,,0,0,,0
29__0__725__TZM__116__116,20:46:14,20:46:14,6950,22,,0,0,,0
29__0__725__TZM__116__116,20:46:50,20:46:50,6951,23,,0,0,,0
29__0__725__TZM__116__116,20:47:37,20:47:37,6952,24,,0,0,,0
29__0__725__TZM__116__116,20:48:29,20:48:29,6954,25,,0,0,,0
29__0__725__TZM__116__116,20:49:00,20:49:00,7955,26,,0,0,,1
29__0__725__TZM__116__116,20:49:23,20:49:23,7954,27,,0,0,,0
29__0__725__TZM__116__116,20:49:51,20:49:51,7953,28,,0,0,,0
29__0__725__TZM__116__116,20:50:33,20:50:33,6956,29,,0,0,,0
29__0__725__TZM__116__116,20:50:58,20:50:58,6957,30,,0,0,,0
29__0__725__TZM__116__116,20:51:30,20:51:30,6958,31,,0,0,,0
29__0__725__TZM__116__116,20:52:09,20:52:09,6959,32,,0,0,,0
29__0__725__TZM__116__116,20:54:00,20:54:00,6960,33,,0,0,,1
29__0__725__TZM__116__116,20:54:42,20:54:42,6133,34,,0,0,,0
29__0__725__TZM__116__116,20:55:22,20:55:22,6134,35,,0,0,,0
29__0__725__TZM__116__116,20:56:35,20:56:35,7157,36,,0,0,,0
29__0__725__TZM__116__116,20:57:11,20:57:11,7156,37,,0,0,,0
29__0__725__TZM__116__116,20:57:49,20:57:49,7155,38,,0,0,,0
29__0__725__TZM__116__116,20:59:00,20:59:00,7153,39,,0,0,,1
29__0__725__TZM__116__116,20:59:27,20:59:27,6100,40,,0,0,,0
29__0__725__TZM__116__116,21:00:07,21:00:07,6101,41,,0,0,,0
29__0__725__TZM__116__116,21:00:23,21:00:23,6140,42,,0,0,,0
29__0__725__TZM__116__116,21:00:40,21:00:40,6141,43,,0,0,,0
29__0__725__TZM__116__116,21:00:57,21:00:57,6142,44,,0,0,,0
29__0__725__TZM__116__116,21:01:29,21:01:29,6143,45,,0,0,,0
29__0__725__TZM__116__116,21:01:47,21:01:47,6144,46,,0,0,,0
29__0__725__TZM__116__116,21:02:26,21:02:26,6145,47,,0,0,,0
29__0__725__TZM__116__116,21:03:00,21:03:00,6146,48,,0,0,,0
29__0__725__TZM__116__116,21:04:05,21:04:05,7796,49,,0,0,,0
29__0__725__TZM__116__116,21:04:38,21:04:38,7795,50,,0,0,,0
29__0__725__TZM__116__116,21:06:10,21:06:10,7794,51,,0,0,,0
29__0__725__TZM__116__116,21:07:13,21:07:13,7793,52,,0,0,,0
29__0__725__TZM__116__116,21:07:53,21:07:53,7792,53,,0,0,,0
29__0__725__TZM__116__116,21:08:38,21:08:38,7791,54,,0,0,,0
29__0__725__TZM__116__116,21:10:00,21:10:00,7720,55,,1,0,,1

